Game_ID,Result,Moves
1,1.0,81
2,0.0,120
3,0.0,104
4,1.0,57
5,0.0,120
6,0.0,58
7,1.0,103
8,1.0,75
9,0.0,56
10,0.0,33
11,0.0,120
12,1.0,119
13,1.0,43
14,0.0,120
15,0.0,120
16,1.0,101
17,0.0,120
18,0.0,80
19,0.0,120
20,0.0,120
21,1.0,77
22,1.0,115
23,1.0,107
24,1.0,7
25,1.0,99
26,0.0,120
27,0.0,33
28,0.0,120
29,0.0,92
30,1.0,37
31,0.0,54
32,1.0,73
33,1.0,51
34,0.0,46
35,1.0,113
36,0.0,51
37,0.0,89
38,0.0,59
39,0.0,120
40,0.0,120
41,0.0,120
42,1.0,47
43,0.0,120
44,1.0,51
45,1.0,109
46,1.0,69
47,0.0,120
48,1.0,95
49,0.0,83
50,1.0,45
51,1.0,41
52,1.0,49
53,0.0,78
54,0.0,120
55,0.0,64
56,0.0,120
57,1.0,73
58,0.0,70
59,1.0,37
60,0.0,120
61,0.0,110
62,1.0,75
63,0.0,120
64,1.0,65
65,0.0,120
66,0.0,120
67,0.0,120
68,0.0,120
69,0.0,70
70,1.0,37
71,1.0,53
72,0.0,120
73,0.0,54
74,1.0,21
75,0.0,120
76,0.0,120
77,1.0,37
78,0.0,64
79,0.0,41
80,0.0,120
81,0.0,120
82,0.0,120
83,1.0,79
84,1.0,47
85,0.0,120
86,0.0,103
87,1.0,101
88,0.0,74
89,0.0,93
90,1.0,63
91,1.0,21
92,0.0,120
93,1.0,51
94,1.0,47
95,0.0,120
96,1.0,71
97,1.0,43
98,0.0,120
99,0.0,120
100,0.0,120
